101,true,10,10,false,20,23,38,74,84,87,127,187,261,273
102,true,10,10,false,31,68,82,137,224,299,384,386,425,790
103,true,10,10,false,28,56,169,185,244,266,271,352,452,689
104,true,10,10,false,44,44,61,70,100,150,176,179,219,386
105,true,10,10,false,33,63,105,109,109,123,221,322,414,470
106,true,10,10,false,3,79,96,105,105,154,212,228,362,581
107,true,10,10,false,13,21,73,97,121,168,188,188,220,406
108,true,10,10,false,119,179,285,298,335,352,489,497,594,637
109,true,10,10,false,22,38,118,252,276,359,380,386,539,622
110,true,10,10,false,31,60,65,115,230,282,302,500,657,679
111,true,10,10,false,12,79,103,148,208,269,297,303,321,634
112,true,10,10,false,32,44,52,83,171,302,328,358,477,567
113,true,10,10,false,16,37,75,92,107,111,123,359,361,518
114,true,10,10,false,27,45,81,93,100,117,168,194,228,404
115,true,10,10,false,41,66,72,181,183,195,289,298,455,703
116,true,10,10,false,36,90,98,127,140,159,284,344,356,385
117,true,10,10,false,39,105,142,221,225,235,326,378,491,832
118,true,10,10,false,65,67,87,133,165,209,246,251,251,332
119,true,10,10,false,13,46,50,53,79,80,87,253,290,813
120,true,10,10,false,32,49,69,69,133,175,184,229,367,590
121,true,10,10,false,20,34,54,120,275,290,328,342,343,354
122,true,10,10,false,69,99,99,107,107,125,145,231,311,365
123,true,10,10,false,105,162,174,244,303,306,335,373,428,439
124,true,10,10,false,1,29,63,67,156,187,187,369,439,563
125,true,10,10,false,89,115,129,162,198,253,266,305,368,603
126,true,10,10,false,25,39,47,50,217,221,250,293,348,416
127,true,10,10,false,7,11,26,30,36,74,144,144,177,312
128,true,10,10,false,92,95,143,149,164,297,335,366,859,886
129,true,10,10,false,69,69,78,141,255,255,289,289,293,418
130,true,10,10,false,12,16,37,103,140,176,204,272,302,510
131,true,10,10,false,19,65,102,135,185,187,224,248,396,696
132,true,10,10,false,37,84,144,146,147,400,479,561,1203,1274
133,true,10,10,false,16,37,84,107,148,232,323,323,413,444
134,true,10,10,false,15,40,89,168,169,200,230,248,343,479
135,true,10,10,false,24,32,44,52,145,151,170,309,374,424
